,contract_id,customer_id,customer_parent_company_id,shipping_date,market,contract_type,material_id,incoterms,country,region_id,CRM_client_type,CRM_client_segment,CRM_client_industry,cost_ifso,cost_dir,cost_overhead,cost_commercial,custom_duties,parity_value,units,price_per_unit,revenue
27,7,7,-1,21.11.2018,domestic,spot,430604,CPT,RU,66,trader,Строительство,Пр-во строительных материалов,0.0,0,0,7987100.339485001,0,295455.60500027,63.33450789636999,328802.29105055,20824531.298885997
28,8,8,-1,04.11.2018,domestic,spot,430604,CPT,RU,67,processor,Строительство,Пр-во строительных материалов,0.0,0,0,18547821.655125,0,292536.3742747,58.056632238339006,333328.28963346,19351917.925885
29,9,9,-1,10.11.2018,domestic,longterm,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13844307.673986,0,292536.3742747,63.33450789636999,318951.51406095,20200637.185853
30,9,9,-1,15.11.2018,domestic,longterm,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,6922153.836993201,0,292536.3742747,31.667253948185,318951.51250262,10100318.543578
31,9,9,-1,19.11.2018,domestic,longterm,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13578070.262965,0,292536.3742747,63.33450789636999,318951.51406095,20200637.185853
32,9,9,-1,24.11.2018,domestic,longterm,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,6789035.1314827,0,292536.3742747,31.667253948185,318951.51250262,10100318.543578
33,9,9,-1,24.11.2018,domestic,longterm,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,6789035.1314827,0,292536.3742747,31.667253948185,318951.51250262,10100318.543578
34,9,9,-1,26.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13578070.262965,0,292536.3742747,63.33450789636999,326938.63626692,20706497.640276
35,10,10,-1,03.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13578070.262965,0,292536.3742747,63.33450789636999,329600.97864954,20875115.78493
36,10,10,-1,15.11.2018,domestic,spot,430604,CPT,RU,50,processor,Строительство,Пр-во строительных материалов,0.0,0,0,13844307.673986,0,292536.3742747,63.33450789636999,329600.97864954,20875115.78493
37,11,11,-1,06.11.2018,domestic,spot,430604,CPT,RU,02,processor,Строительство,Пр-во строительных материалов,0.0,0,0,9850755.9334476,0,293917.00999818,63.33450789636999,326139.91750134,20655911.18031
38,12,12,3,09.11.2018,domestic,longterm,430604,CPT,RU,78,processor,Строительство,Пр-во строительных материалов,0.0,0,0,19701511.866895,0,283717.04405014,63.33450789636999,325820.41784013,20635675.826495003
39,12,12,3,12.11.2018,domestic,longterm,430604,CPT,RU,78,processor,Строительство,Пр-во строительных материалов,0.0,0,0,21298933.191429,0,283717.04405014,63.33450789636999,325820.41784013,20635675.826495003
40,12,12,3,17.11.2018,domestic,longterm,430604,CPT,RU,78,processor,Строительство,Пр-во строительных материалов,0.0,0,0,19701511.866895,0,283717.04405014,63.33450789636999,325820.41784013,20635675.826495003
41,12,12,3,18.11.2018,domestic,longterm,430604,CPT,RU,78,processor,Строительство,Пр-во строительных материалов,0.0,0,0,19701511.866895,0,283717.04405014,63.33450789636999,325820.41784013,20635675.826495003
42,12,12,3,23.11.2018,domestic,longterm,430604,CPT,RU,78,processor,Строительство,Пр-во строительных материалов,0.0,0,0,19701511.866895,0,283717.04405014,63.33450789636999,325820.41784013,20635675.826495003
43,12,12,3,25.11.2018,domestic,longterm,430604,CPT,RU,78,processor,Строительство,Пр-во строительных материалов,0.0,0,0,41000445.058324,0,283717.04405014,126.66901579273998,325820.41784013,41271351.652989
