office_id, city, latitude, longitude, work_day_hours, holiday_hours, opt_0, opt_1, opt_2, opt_3, opt_4, opt_5, opt_6, opt_7, opt_8, opt_9, opt_10, opt_11, opt_12, opt_13, opt_14, opt_15, opt_16
36, г.Москва, 55.793885, 37.509819, 10:00-20:00, not working, 1, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 1, 1, 1, 0, 0
37, г.Москва, 55.805245, 37.519863, 10:00-20:00, not working, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
38, г.Москва, 55.691533, 37.549722, 10:00-20:00, not working, 0, 1, 0, 1, 0, 1, 1, 0, 1, 1, 1, 1, 1, 1, 1, 0, 0
39, г.Москва, 55.792088, 37.496956, 10:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1, 1, 0, 0, 0
40, г.Москва, 55.682217, 37.566797, 10:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
41, г.Москва, 55.709931, 37.732638, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
42, г.Москва, 55.702881, 37.509954, 10:00-20:00, 10:00-17:00, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
43, г.Москва, 55.67119, 37.66074, 10:00-20:00, 10:00-17:00, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 1, 0
44, г.Москва, 55.664182, 37.598663, 10:00-20:00, not working, 1, 1, 0, 1, 1, 0, 1, 0, 0, 1, 0, 1, 1, 1, 0, 1, 0
45, г.Москва, 55.660617, 37.618686, 10:00-20:00, 10:00-17:00, 1, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
46, г.Москва, 55.821386, 37.497746, 10:00-21:00, 10:00-17:00, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
47, г.Москва, 55.720722, 37.774463, 10:00-20:00, 10:00-17:00, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
48, г.Москва, 55.752759, 37.791846, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 1, 0, 1, 1, 1, 0, 0
49, г.Москва, 55.85578, 37.58588, 10:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
50, г.Москва, 55.724271, 37.44691, 10:00-20:00, 10:00-17:00, 1, 1, 0, 1, 0, 1, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
51, г.Москва, 55.646624, 37.606514, 10:00-20:00, 10:00-17:00, 0, 1, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 0, 0
52, г.Москва, 55.671727, 37.495455, 10:00-20:00, not working, 0, 0, 0, 1, 0, 1, 0, 0, 1, 1, 1, 0, 0, 1, 1, 0, 0
53, г.Москва, 55.770451, 37.423992, 10:00-20:00, not working, 1, 1, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 1, 1, 0, 0
54, г.Москва, 55.645913, 37.669666, 10:00-20:00, 10:00-17:00, 0, 0, 0, 1, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0
55, г.Москва, 55.67651, 37.76123, 10:00-20:30, 10:00-17:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
56, г.Москва, 55.84576, 37.47759, 10:00-20:00, 10:00-17:00, 0, 1, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 1, 0
57, г.Москва, 55.817588, 37.797442, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 1, 0, 1, 1, 1, 0, 0
58, г.Москва, 55.833016, 37.454348, 10:00-20:00, 10:00-17:00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0
